trans_code,acct_num,trans_dt,debit_amt,credit_amt,balance,description,teller_id
LEG8995885,ACC00009318,11/15/23,5255.51,0.0,54907.48,Online Purchase,T0174
LEG5489224,ACC-0000-4050,09/28/23,24691.72,0.0,54077.48,Wire Transfer,T0208
LEG4628047,ACC-0000-4094,11-12-2023,13923.0,0.0,9035.92,Direct Deposit,T0194
LEG0993864,00007858,13-02-2024,0.0,2055.08,35083.36,Direct Deposit,T0139
LEG3089045,ACC-0001-0547,02-02-2024,0.0,9267.35,82245.34,Wire Transfer,T0139
LEG9038459,ACC 00005669,01-14-2024,0.0,14558.75,86462.69,Direct Deposit,T0188
LEG5754228,00009416,03/31/24,4595.24,0.0,19745.85,Interest Payment,T0144
LEG3714788,ACC 00004142,01-22-2024,22053.66,0.0,57364.01,Direct Deposit,T0186
LEG5492242,ACC00008516,11/24/23,6932.31,0.0,55736.71,Refund,T0204
LEG4883006,00009201,12-17-2023,1922.2,0.0,84467.75,Check Deposit,T0179
LEG8863417,ACC 00010042,10/19/23,0.0,22030.21,88942.55,Check Deposit,T0224
LEG5993780,ACC 00010291,10-06-2023,0.0,15630.62,44610.72,Wire Transfer,T0167
LEG1910688,00002000,21-03-2024,0.0,23544.8,74483.41,Interest Payment,T0175
LEG9968966,ACC 00002651,20230924,20019.16,0.0,53044.57,Check Deposit,T0180
LEG2523464,ACC00002310,20231025,0.0,18388.44,7217.38,Interest Payment,T0246
LEG8214269,ACC00007106,15-12-2023,0.0,21254.1,99849.97,Direct Deposit,T0191
LEG2017805,00005649,02-10-2023,0.0,-15492.17,16467.51,Interest Payment,T0244
LEG1392266,ACC-0000-6173,02-27-2024,14456.25,0.0,85146.7,Monthly Fee,T0208
LEG0412144,ACC 00001330,20230928,1308.81,0.0,4731.36,Monthly Fee,T0192
LEG8650894,00008283,10/02/23,0.0,23495.25,58271.09,Transfer In,T0109
LEG4511281,ACC 00009732,11/06/23,0.0,3948.63,82663.43,Interest Payment,T0226
LEG8302107,ACC00005664,01/13/24,5665.31,0.0,98069.34,Interest Payment,T0173
LEG7997419,ACC00006326,20240402,0.0,8365.3,76140.58,Direct Deposit,T0182
LEG4013663,ACC00009317,11/22/23,13472.75,0.0,56344.46,Monthly Fee,T0127
LEG8373481,ACC00007138,22-12-2023,0.0,18216.06,86846.65,Online Purchase,T0199
LEG7677228,ACC-0000-4470,18-11-2023,10906.82,0.0,21948.8,Monthly Fee,T0191
LEG8954308,ACC-0000-3650,11-25-2023,17527.71,0.0,62419.78,Direct Deposit,T0116
LEG8913145,ACC-0000-5041,03-16-2024,14921.7,0.0,22532.89,Check Deposit,T0229
LEG3812099,00003585,26-02-2024,-942.94,0.0,57738.5,Direct Deposit,T0207
LEG9535577,ACC-0000-7935,20240221,19934.39,0.0,34896.05,Transfer Out,T0163
LEG0356311,ACC 00004878,12-05-2023,0.0,6689.7,30484.78,Wire Transfer,T0202
LEG7403495,00009218,03-20-2024,0.0,3771.09,76271.08,Transfer Out,T0187
LEG6421714,ACC 00009232,01/04/24,0.0,7674.29,4179.58,Direct Deposit,T0204
LEG4762625,ACC-0000-9454,11/28/23,14004.68,0.0,48030.58,Refund,T0161
LEG2609789,ACC-0000-6950,12/07/23,0.0,9119.06,20264.8,Bill Payment,T0222
LEG8984213,ACC-0000-6666,20231224,0.0,19680.4,22520.57,Direct Deposit,T0243
LEG9634023,ACC 00003525,10-13-2023,10613.16,0.0,63466.27,Direct Deposit,T0177
LEG5760468,00004503,12/09/23,0.0,2488.55,10795.71,Wire Transfer,T0247
LEG0772163,ACC-0000-6899,03/25/24,16850.23,0.0,37120.37,Refund,T0186
LEG9271226,ACC-0000-2150,12/09/23,0.0,10265.98,24839.78,Direct Deposit,T0106
LEG5361414,ACC-0000-4777,02-25-2024,0.0,17239.64,11100.92,Wire Transfer,T0178
LEG1591270,ACC00010998,13-10-2023,15497.67,0.0,70501.06,Card Purchase,T0177
LEG7580920,00006643,09/25/23,4134.03,0.0,19574.1,Card Purchase,T0190
LEG4011310,ACC-0001-0580,12/21/23,0.0,15065.86,40652.85,Interest Payment,T0122
LEG3487135,ACC00005189,11/21/23,0.0,3392.0,66801.36,Refund,T0105
LEG5356285,00001122,20240111,0.0,21299.15,60655.91,Wire Transfer,T0237
LEG2700958,ACC00009659,04-03-2024,0.0,17327.4,9935.83,Card Purchase,T0113
LEG4076429,ACC00005143,10-09-2023,0.0,8818.41,59687.26,Bill Payment,T0113
LEG9012318,ACC00005481,20231124,10437.39,0.0,55193.04,ATM Withdrawal,T0213
LEG3881767,ACC 00008932,02-05-2024,0.0,17341.58,24444.31,Card Purchase,T0183
LEG4658563,ACC 00004692,01/21/24,14788.94,0.0,7386.18,Interest Payment,T0196
LEG2898885,ACC00003096,03/01/24,13926.65,0.0,28836.91,Refund,T0100
LEG6770492,00004367,10-15-2023,22005.13,0.0,81654.03,Direct Deposit,T0215
LEG6013415,ACC 00001668,11-01-2024,0.0,15265.37,20483.36,Check Deposit,T0197
LEG6770746,ACC 00008596,10-12-2023,2574.42,0.0,74360.37,Transfer In,T0142
LEG5575465,00003360,10-19-2023,9320.36,0.0,47842.51,Monthly Fee,T0108
LEG1789316,ACC00003430,20240101,22629.74,0.0,25.04,Online Purchase,T0111
LEG8539000,ACC00010416,07-10-2023,287.51,0.0,10226.21,Online Purchase,T0107
LEG4770676,00010624,12/04/23,0.0,10994.1,93698.62,Interest Payment,T0199
LEG2615668,00009899,01-23-2024,0.0,19768.45,76438.48,ATM Withdrawal,T0109
LEG8888191,ACC-0000-9697,27-12-2023,0.0,932.37,99616.53,Transfer In,
LEG2275107,ACC-0000-1221,20231219,8305.63,0.0,62053.64,Wire Transfer,T0207
LEG6689476,00005730,20240323,6380.22,0.0,67403.43,Refund,T0123
LEG7363900,ACC00007040,03-03-2024,0.0,7514.45,10655.66,Transfer Out,T0228
LEG9570548,ACC-0000-1046,13-02-2024,0.0,16196.29,17340.18,Card Purchase,T0179
LEG4984554,ACC-0000-4429,10-14-2023,0.0,7812.09,75176.8,Card Purchase,T0165
LEG4799134,ACC00008867,11/04/23,4302.26,0.0,21297.2,Monthly Fee,T0214
LEG0858206,ACC 00010744,12/31/23,-0.0,24317.23,37270.99,Online Purchase,T0223
LEG6054568,00004177,20231020,0.0,2942.73,35567.92,Transfer In,T0171
LEG2128440,00003719,04/02/24,0.0,19869.67,19132.45,Direct Deposit,T0109
LEG5980013,00004893,26-12-2023,17410.63,0.0,7800.08,Bill Payment,T0234
LEG3886473,ACC00003205,04-05-2024,0.0,12674.11,80314.73,Bill Payment,T0103
LEG2960430,00003158,09-28-2023,21156.57,0.0,35813.72,Monthly Fee,T0247
LEG9623422,ACC-0000-9840,10-03-2024,3109.7,0.0,56690.59,Transfer In,T0219
LEG6645434,ACC00003120,20240209,4734.78,0.0,78946.75,Online Purchase,T0189
LEG6450465,00007517,02/19/24,10875.7,0.0,16202.06,Check Deposit,T0156
LEG7393107,00008499,10/20/23,12291.99,0.0,90052.15,Direct Deposit,T0139
LEG3809057,00004239,20240109,0.0,13298.78,95771.55,Transfer Out,T0106
LEG6468991,ACC-0000-7894,09-29-2023,23369.61,0.0,72698.56,Transfer Out,T0185
LEG1949957,ACC-0000-2389,01-01-2024,0.0,19650.62,50078.34,Transfer Out,T0121
LEG4241455,ACC-0000-4575,05-10-2023,5090.1,0.0,61015.98,Interest Payment,T0185
LEG3169418,ACC-0000-3279,20240118,992.21,0.0,70395.84,Direct Deposit,T0197
LEG3656762,ACC 00002467,02-29-2024,5695.41,0.0,62729.91,Wire Transfer,T0212
LEG0874165,ACC00006318,26-09-2023,13866.13,0.0,70055.21,Refund,T0135
LEG0732896,ACC 00007539,01/17/24,13123.26,0.0,77475.38,Direct Deposit,T0233
LEG1843090,00002336,10-12-2023,15679.25,0.0,1690.77,Interest Payment,T0194
LEG0310133,ACC-0000-6193,11-02-2024,0.0,2072.73,94230.55,Monthly Fee,T0119
LEG9140428,ACC-0000-9260,21-10-2023,0.0,592.05,15744.58,Online Purchase,T0168
LEG8809577,ACC 00005662,19-10-2023,0.0,17129.47,95194.77,Refund,T0222
LEG8395290,ACC00003382,12/22/23,0.0,16631.47,11907.72,Check Deposit,T0120
LEG7158091,ACC00009640,03-04-2024,0.0,16694.26,25330.63,Interest Payment,T0172
LEG6354267,ACC-0001-0321,20231110,0.0,24691.25,9412.82,Interest Payment,T0102
LEG2077100,ACC00007207,01/07/24,12308.47,0.0,33982.41,Monthly Fee,T0131
LEG0060592,ACC00002171,04-11-2023,0.0,2703.78,81602.99,Check Deposit,T0230
LEG0550342,00007997,03-13-2024,15307.57,0.0,46070.17,Refund,T0126
LEG8044887,ACC-0000-2778,12/16/23,21995.63,0.0,4050.5,Transfer In,T0148
LEG1466659,ACC00008143,20231218,14747.56,0.0,48515.89,Check Deposit,T0215
LEG8689102,ACC00009272,09/23/23,0.0,20774.71,-85005.32,Interest Payment,T0229
LEG6678030,ACC 00006013,20230924,0.0,20618.37,43531.84,ATM Withdrawal,T0142
LEG1289426,ACC00006665,02/13/24,13941.7,0.0,56919.13,Monthly Fee,T0224
LEG2709881,00003123,20240209,11110.88,0.0,22548.68,Interest Payment,
LEG2279210,ACC 00001582,09-02-2024,20558.82,0.0,44005.14,Wire Transfer,T0148
LEG4983977,ACC00009401,13-03-2024,0.0,23677.09,16583.81,Check Deposit,T0209
LEG4374838,ACC 00002057,20240216,0.0,1168.0,58708.45,Interest Payment,T0194
LEG1125788,00007153,20231108,0.0,4624.01,89924.3,Wire Transfer,T0222
LEG9622646,ACC-0000-6745,10-27-2023,10886.69,0.0,89022.67,Interest Payment,T0155
LEG7035677,00008264,01/25/24,14107.89,0.0,20722.77,Transfer Out,T0156
LEG0133186,ACC-0000-4623,01-19-2024,6601.88,0.0,99942.47,Card Purchase,T0115
LEG6445973,ACC-0000-2712,06-10-2023,0.0,12394.19,19601.38,Monthly Fee,T0172
LEG3168603,00009568,10-06-2023,0.0,1152.85,8727.07,Refund,T0228
LEG4064235,ACC-0000-9951,29-09-2023,0.0,1139.09,34095.97,Wire Transfer,T0176
LEG2909204,00010444,12-10-2023,5886.47,0.0,15271.94,Wire Transfer,T0201
LEG0355815,ACC-0001-0094,20231012,125.32,0.0,86287.06,ATM Withdrawal,T0154
LEG8419887,ACC-0000-9692,29-12-2023,0.0,15106.4,7246.56,ATM Withdrawal,T0190
LEG5088310,ACC 00005762,10/27/23,13158.57,0.0,26232.22,Refund,T0131
LEG7225840,ACC00005066,15-10-2023,0.0,7219.48,84117.87,Card Purchase,T0143
LEG3045321,ACC00003781,26-03-2024,0.0,20313.22,83740.93,Refund,T0107
LEG8087051,00006652,20231214,23434.26,0.0,62895.29,Check Deposit,T0207
LEG9822040,ACC-0000-7339,03/13/24,21133.18,0.0,52334.5,Interest Payment,T0171
LEG9516104,ACC00008712,12/27/23,24764.6,0.0,88616.49,ATM Withdrawal,T0182
LEG9876953,00006054,01-03-2024,0.0,23951.45,29935.14,Card Purchase,T0204
LEG1560518,ACC-0000-2123,29-10-2023,0.0,2319.05,82976.52,Card Purchase,T0178
LEG0042508,ACC00006420,10-12-2023,21564.55,0.0,60687.15,Monthly Fee,T0129
LEG2399054,ACC00010699,12/01/23,4818.75,0.0,62797.5,Bill Payment,T0124
LEG9618038,ACC-0000-2258,20240302,0.0,9685.28,80547.99,Interest Payment,T0238
LEG2488221,ACC 00005960,12-10-2023,9193.45,0.0,76240.44,Direct Deposit,T0233
LEG6987832,ACC-0000-1757,20231107,854.57,0.0,58928.25,Card Purchase,T0188
LEG9529774,ACC 00003182,04/05/24,0.0,6340.94,68786.52,Check Deposit,T0201
LEG2003485,ACC00010755,20231019,16953.02,0.0,32496.28,Monthly Fee,T0115
LEG1647928,ACC-0000-2970,10-05-2023,0.0,20802.41,98647.12,Interest Payment,T0249
LEG1016769,ACC00006353,11-30-2023,0.0,2308.99,36533.88,Monthly Fee,T0130
LEG2780238,ACC00009691,11/24/23,0.0,331.61,30642.52,Transfer In,T0233
LEG5574679,00006590,10-26-2023,14433.68,0.0,90093.41,Card Purchase,T0164
LEG9815293,00010591,03-21-2024,0.0,23886.16,66483.75,Bill Payment,T0203
LEG6699296,ACC 00007831,20240404,0.0,19802.81,29395.15,Direct Deposit,T0192
LEG6185329,ACC00002137,20230919,0.0,4193.45,59742.05,Online Purchase,T0207
LEG6096952,ACC-0000-6715,03-13-2024,6513.92,0.0,10722.31,Interest Payment,T0246
LEG3617112,ACC 00001382,20240101,0.0,21233.38,81180.25,Monthly Fee,T0213
LEG0670532,00007206,01-17-2024,12303.12,0.0,36534.14,Refund,T0115
LEG3760884,ACC-0000-4543,20231114,0.0,18854.98,31070.33,Transfer Out,T0162
LEG9956829,ACC-0000-7713,11-14-2023,8466.96,0.0,2067.28,Wire Transfer,T0222
LEG9385378,ACC-0000-5157,10-01-2024,12194.41,0.0,44645.1,Interest Payment,T0185
LEG8814673,ACC-0000-5636,20231030,166.75,0.0,24865.66,Wire Transfer,T0185
LEG7943927,ACC00006541,10/12/23,9981.73,0.0,23780.07,Monthly Fee,
LEG6259358,ACC00008894,12/24/23,18786.98,0.0,35257.99,Transfer In,T0171
LEG5767069,00006824,12/07/23,0.0,14932.0,12578.24,Online Purchase,T0240
LEG5144155,ACC 00009185,03-04-2024,0.0,9572.8,86.09,Online Purchase,T0117
LEG8488788,ACC 00004868,01/24/24,16300.29,0.0,7472.11,Card Purchase,T0104
LEG4667906,00002496,28-11-2023,0.0,21606.56,40373.18,Transfer In,T0156
LEG6717695,00007539,20240108,4432.54,0.0,45462.24,ATM Withdrawal,T0248
LEG1364504,ACC-0000-2213,20-09-2023,0.0,10449.32,42397.56,Bill Payment,T0213
LEG1488161,ACC-0000-2724,19-11-2023,0.0,4952.38,79210.81,Refund,T0146
LEG0785769,ACC 00007947,19-03-2024,20455.34,0.0,60024.63,ATM Withdrawal,T0232
LEG5779364,ACC 00007696,31-10-2023,0.0,5593.32,53809.24,Card Purchase,T0138
LEG5941231,ACC 00006785,02/28/24,19058.48,0.0,29667.89,Transfer In,T0110
LEG9229937,00006477,09-29-2023,0.0,1189.68,1105.85,Interest Payment,T0136
LEG5957767,ACC00004555,20231116,0.0,10918.66,16965.92,Wire Transfer,T0145
LEG4202868,ACC-0000-2264,04/03/24,21899.97,0.0,89888.22,Refund,T0243
LEG5661396,00009949,09/23/23,0.0,17034.17,86586.64,Transfer In,T0107
LEG6875287,00006682,20240121,21773.0,0.0,94175.84,Transfer In,T0213
LEG3046857,00008276,29-01-2024,13020.97,0.0,1559.32,Refund,T0178
LEG2212745,ACC-0000-5296,20231202,0.0,2814.06,23631.17,Monthly Fee,T0176
LEG7210560,ACC 00005620,03/16/24,0.0,9792.38,93321.94,Bill Payment,T0119
LEG9241323,00007381,01-22-2024,14624.68,0.0,67987.22,Transfer In,
LEG1679693,ACC00002563,20231207,0.0,22684.26,90316.79,Card Purchase,T0131
LEG3810396,00005691,12-17-2023,0.0,23037.94,56847.49,Direct Deposit,T0180
LEG6635901,ACC 00004656,12/12/23,8968.46,0.0,19419.94,Online Purchase,T0107
LEG2323690,ACC00008120,03/22/24,18108.16,0.0,33108.37,Transfer In,T0124
LEG5698294,ACC-0000-1497,01/11/24,17459.82,0.0,66950.17,ATM Withdrawal,T0186
LEG8581788,ACC00004829,10/19/23,0.0,13863.79,38661.16,Transfer In,T0144
LEG3079240,ACC 00001241,11-15-2023,15274.37,0.0,65185.11,Check Deposit,T0202
LEG2744349,ACC 00001888,20231118,0.0,13864.88,57729.24,Transfer Out,T0135
LEG6793150,ACC 00010679,01/02/24,0.0,4256.13,6462.4,Check Deposit,T0201
LEG9640933,ACC-0000-1264,11-17-2023,0.0,8677.31,14245.48,Online Purchase,T0195
LEG3616310,00001348,20230918,2246.36,0.0,62515.98,Card Purchase,T0216
LEG5434405,00004437,16-10-2023,24928.43,0.0,28746.05,Interest Payment,T0159
LEG0499331,ACC 00004152,09/25/23,769.9,0.0,29915.97,Interest Payment,T0158
LEG5579821,ACC00008746,08-03-2024,19534.18,0.0,39107.64,Online Purchase,T0244
LEG0277184,00001252,24-12-2023,2454.74,0.0,80101.62,Direct Deposit,T0130
LEG9673937,ACC 00006821,12/30/23,0.0,21690.74,99949.94,Transfer In,T0156
LEG4968571,00010544,20240319,18175.56,0.0,31188.64,Wire Transfer,T0193
LEG4636012,ACC 00003561,11-01-2023,0.0,23254.82,1161.05,Card Purchase,T0107
LEG8458403,ACC 00006371,10-11-2023,0.0,14153.8,43926.42,Online Purchase,T0162
LEG9337931,ACC00002186,02-26-2024,0.0,22287.83,65543.37,Bill Payment,T0148
LEG3187009,ACC-0000-5413,10/27/23,0.0,22709.39,85122.63,Bill Payment,T0169
LEG8826894,ACC-0000-9627,11/06/23,19803.95,0.0,46934.45,ATM Withdrawal,T0192
LEG8597001,00009585,20-12-2023,4257.41,0.0,94192.83,Monthly Fee,T0218
LEG5237181,ACC 00010570,02-16-2024,5660.87,0.0,10843.76,Card Purchase,T0181
LEG4223758,00007081,30-12-2023,2498.5,0.0,10568.46,Interest Payment,T0210
LEG4053043,ACC-0000-6986,20231013,0.0,12720.16,50214.57,Transfer In,T0248
LEG3924975,00007674,02-02-2024,0.0,6222.94,87369.89,Transfer In,T0168
LEG7778299,ACC00007940,11-27-2023,5231.69,0.0,68681.98,Card Purchase,T0147
LEG4454376,ACC 00005180,12/19/23,0.0,11063.55,79086.63,ATM Withdrawal,T0121
LEG6384349,ACC 00009398,12-29-2023,0.0,2715.46,93976.5,Check Deposit,T0236
LEG5609318,ACC 00008526,20240111,0.0,2909.76,17324.96,ATM Withdrawal,T0184
LEG5438842,ACC00002268,13-01-2024,5994.58,0.0,52091.11,Transfer Out,T0238
LEG1077929,ACC-0000-2622,11/11/23,0.0,10318.67,88585.1,Bill Payment,T0101
LEG0399008,ACC 00002649,11/15/23,16962.94,0.0,75363.93,Direct Deposit,T0189
LEG1635916,ACC 00008367,20231016,24358.63,0.0,52368.77,Wire Transfer,T0187
LEG9545204,00007771,19-10-2023,0.0,12189.04,59349.28,Direct Deposit,T0220
LEG6276362,ACC00009034,10-17-2023,22079.62,0.0,65955.01,Wire Transfer,T0138
LEG7634975,ACC-0000-9413,03/10/24,0.0,8902.86,90228.44,Transfer In,T0147
LEG0365991,ACC00001996,01/02/24,0.0,22695.25,59209.06,Online Purchase,T0241
LEG6687720,ACC00008517,02/12/24,21261.07,0.0,8142.48,Monthly Fee,T0104
LEG0555947,ACC 00008990,12-12-2023,0.0,12783.39,91856.2,Wire Transfer,T0165
LEG8063617,ACC00002182,20240215,0.0,13346.51,93399.01,Transfer In,T0143
LEG9293723,ACC00006621,12-19-2023,0.0,9935.61,98498.97,Transfer Out,T0130
LEG8042462,00007101,04-02-2024,0.0,9132.73,30668.85,Online Purchase,T0106
LEG3843893,ACC-0000-1222,16-10-2023,0.0,8080.86,81916.66,Online Purchase,T0108
LEG4512126,ACC00003287,11-02-2024,7901.66,0.0,21765.04,Bill Payment,T0242
LEG5370326,ACC-0000-5050,10-11-2023,6552.96,0.0,93646.17,Check Deposit,T0153
LEG2687959,ACC 00007034,28-01-2024,9264.46,0.0,80756.66,Check Deposit,T0119
LEG0061245,ACC00002316,11-20-2023,17872.92,0.0,6471.93,Online Purchase,T0185
LEG8843254,00001932,20231018,7195.75,0.0,10693.74,Check Deposit,T0171
LEG8948627,ACC 00004625,20240115,0.0,18094.31,17137.6,Direct Deposit,T0225
LEG1738624,ACC 00006850,29-03-2024,0.0,12423.39,45532.77,Card Purchase,T0233
LEG2945788,ACC-0001-0580,20231015,16029.56,0.0,55888.34,Interest Payment,T0191
LEG2079197,ACC-0000-5417,03/24/24,0.0,8531.14,8054.72,ATM Withdrawal,T0189
LEG3416153,00008423,06-01-2024,0.0,12708.8,19788.62,Wire Transfer,T0104
LEG7218663,ACC00005170,02/22/24,22419.52,0.0,39325.67,Transfer In,T0192
LEG0124396,00007776,20240113,0.0,18308.62,98710.84,Check Deposit,T0236
LEG3243656,ACC00003876,15-02-2024,0.0,14794.74,22308.9,Interest Payment,T0138
LEG4720469,00006431,11-23-2023,12034.5,0.0,49105.57,Card Purchase,T0100
LEG1697817,ACC-0001-0283,20231031,0.0,11720.69,33767.67,Bill Payment,T0217
LEG1993370,ACC-0000-9999,12-01-2024,-21439.99,0.0,24845.14,Interest Payment,T0227
LEG7958005,00006742,03-18-2024,11063.13,0.0,5635.13,Interest Payment,T0152
LEG0353103,00003437,20240317,0.0,21451.99,38681.38,Transfer In,T0202
LEG1647377,ACC-0000-5968,20231021,0.0,7839.47,18175.82,Transfer Out,T0213
LEG2395554,ACC-0000-5512,02-04-2024,14485.28,0.0,74225.52,Transfer Out,T0192
LEG3787733,ACC00009918,06-01-2024,0.0,13990.98,96629.75,Interest Payment,T0167
LEG5177921,ACC00005533,09/28/23,21076.9,0.0,12282.61,Check Deposit,T0142
LEG2372509,ACC-0000-9403,02/20/24,12284.64,0.0,59199.83,Direct Deposit,T0241
LEG0135867,00004232,20230929,18577.73,0.0,29061.22,Online Purchase,T0215
LEG5033385,ACC 00001815,02/14/24,6260.37,0.0,23146.33,Card Purchase,T0207
LEG6994206,ACC 00007208,01-01-2024,0.0,17586.59,99849.36,Check Deposit,T0202
LEG6285364,ACC-0000-5806,19-10-2023,16129.31,0.0,17794.09,Online Purchase,T0240
LEG6315710,ACC 00006532,01-07-2024,942.43,0.0,37614.79,Transfer Out,T0205
LEG1424985,ACC 00008193,12/17/23,0.0,10059.42,52969.31,Refund,T0136
LEG9969322,ACC 00001368,28-01-2024,7698.6,0.0,14380.56,Online Purchase,T0204
LEG6169601,00003175,20-10-2023,4358.66,0.0,55474.58,Interest Payment,T0113
LEG4456764,00007139,11-03-2023,16180.55,0.0,60962.14,Direct Deposit,T0222
LEG2213168,ACC 00008865,02/08/24,0.0,12835.38,19102.83,Transfer In,T0101
LEG1827269,ACC-0000-9628,04-04-2024,9718.89,0.0,26226.18,Interest Payment,T0114
LEG3923101,00001480,08-02-2024,21372.49,0.0,21635.26,Online Purchase,T0176
LEG5452301,ACC-0000-6137,12-03-2024,1543.15,0.0,3564.69,Card Purchase,T0117
LEG7233370,00004058,27-10-2023,0.0,4339.69,66106.57,Transfer In,T0191
LEG5265358,ACC-0000-6467,10-01-2024,0.0,7050.45,76984.69,Wire Transfer,T0242
LEG9430424,ACC 00004673,20240106,-4729.48,0.0,48534.79,Transfer Out,T0176
LEG6229757,ACC-0000-8885,09/22/23,3217.31,0.0,61672.29,Check Deposit,T0164
LEG2946699,00005702,20231226,23619.85,0.0,45558.54,Direct Deposit,T0214
LEG4616729,ACC00006429,10/16/23,0.0,11573.41,53114.56,Interest Payment,T0244
LEG8740794,00005175,12/23/23,7422.02,0.0,63744.57,Refund,T0219
LEG8365317,ACC-0000-6915,12/05/23,-0.0,5616.8,63760.12,Card Purchase,T0205
LEG1008461,00003251,01/02/24,108.84,0.0,99716.16,ATM Withdrawal,T0114
LEG5342084,00004436,10-19-2023,-0.0,11045.17,6937.22,Interest Payment,T0186
LEG0977577,ACC00005699,12-22-2023,0.0,114.14,11760.78,Bill Payment,T0217
LEG7342161,00007160,20231008,14736.37,0.0,82105.62,Transfer Out,T0116
LEG2292212,ACC 00001720,10-10-2023,9570.89,0.0,1600.1,Interest Payment,T0188
LEG8981627,ACC-0000-8925,20230920,0.0,6309.44,46740.57,Check Deposit,T0147
LEG8943703,ACC00007224,03-02-2024,0.0,5822.89,56647.87,Transfer Out,T0229
LEG0500033,00002780,09/26/23,0.0,4515.9,25219.29,Check Deposit,T0238
LEG7100138,ACC 00007380,18-03-2024,0.0,18821.05,88717.52,Direct Deposit,T0226
LEG2469403,ACC-0000-5959,20231018,1899.7,0.0,85288.29,ATM Withdrawal,
LEG0974864,ACC 00008108,03-01-2024,5895.64,0.0,8193.83,Transfer In,T0129
LEG9692820,ACC00003742,05-01-2024,24820.99,0.0,65206.98,Monthly Fee,T0202
LEG9280553,ACC 00001738,11-19-2023,0.0,23981.85,61841.65,Bill Payment,T0181
LEG1817236,00006105,27-09-2023,0.0,16498.02,12725.95,Wire Transfer,T0118
LEG3184433,00001949,20231007,0.0,21211.04,10655.97,Online Purchase,T0114
LEG4908284,ACC00001854,20231113,0.0,9355.42,63854.59,Bill Payment,T0181
LEG4400918,ACC 00006209,20231112,0.0,10710.93,91119.52,Monthly Fee,T0168
LEG6397362,ACC 00004164,02-10-2023,20745.99,0.0,35178.01,Transfer Out,T0194
LEG0065960,00006024,20231202,0.0,12280.7,11007.79,Online Purchase,T0124
LEG2092036,00003632,19-02-2024,17913.68,0.0,59013.02,Online Purchase,T0189
LEG7871305,ACC 00005157,11/25/23,0.0,-1225.08,7987.36,Check Deposit,T0133
LEG3226801,ACC00002177,20240127,0.0,7908.18,30813.51,Wire Transfer,T0117
LEG2587072,ACC00010323,20-09-2023,0.0,22854.63,45629.68,Transfer Out,T0109
LEG3426183,ACC 00007441,02-08-2024,22623.89,0.0,15200.1,ATM Withdrawal,T0231
LEG8026387,ACC-0000-9789,20231213,0.0,4108.77,5571.9,Check Deposit,T0148
LEG6253562,ACC 00005286,20240308,0.0,332.43,26900.99,Card Purchase,T0201
LEG2278083,ACC00002453,03-11-2023,0.0,5939.08,4692.43,Check Deposit,T0118
LEG3412582,ACC00010780,09-20-2023,3990.35,0.0,78025.16,Wire Transfer,T0163
LEG2388909,ACC 00003903,10-18-2023,1205.29,0.0,34530.93,Monthly Fee,T0203
LEG6892948,00006884,11-02-2023,0.0,5335.76,32973.06,Refund,T0129
LEG6279128,ACC-0000-3949,12-02-2024,510.05,0.0,87644.33,Check Deposit,T0214
LEG6435669,ACC-0000-3881,21-11-2023,0.0,14916.41,97516.88,Transfer In,T0137
LEG6628938,ACC00001451,20231215,9641.34,0.0,34624.22,ATM Withdrawal,T0161
LEG4559219,ACC00003257,13-02-2024,0.0,7268.17,13572.73,Wire Transfer,T0200
LEG5372059,00004466,02/04/24,12871.73,0.0,51353.93,Monthly Fee,T0113
LEG1922257,00006177,02-16-2024,0.0,19671.5,48547.88,Refund,T0119
LEG8390869,00005044,20231120,370.14,0.0,-23970.84,Check Deposit,T0220
LEG2321101,ACC-0000-3372,09/30/23,0.0,20477.64,59633.84,Direct Deposit,T0204
LEG3695565,ACC 00010731,08-02-2024,0.0,22309.85,49941.55,Card Purchase,T0210
LEG6809481,ACC00007897,13-01-2024,10455.93,0.0,69719.43,Check Deposit,T0122
LEG0880004,ACC-0001-0626,11/13/23,18810.12,0.0,29811.12,Wire Transfer,T0118
LEG2875572,00002998,01/04/24,0.0,16194.39,73553.85,Refund,T0178
LEG5525888,ACC00009851,25-03-2024,0.0,18157.98,64374.47,Bill Payment,T0149
LEG6800109,ACC00002114,01-04-2024,0.0,484.07,57614.33,Wire Transfer,T0181
LEG2211076,ACC 00008386,20240304,1832.92,0.0,7326.14,Transfer In,T0126
LEG9364464,ACC00001394,02/13/24,0.0,2999.25,20273.2,Interest Payment,T0209
LEG3106416,ACC00001414,01/31/24,0.0,16725.03,15681.9,Refund,T0112
LEG9756447,ACC00003581,20231022,15677.15,0.0,16285.53,Transfer In,T0178
LEG8361550,ACC-0000-1943,03/11/24,0.0,24721.93,91367.85,Interest Payment,T0119
LEG0329226,ACC 00004355,01/26/24,0.0,11028.57,75286.72,Monthly Fee,T0217
LEG0267889,ACC-0000-2775,25-09-2023,6517.27,0.0,12646.17,Online Purchase,T0111
LEG7074943,00010334,09/21/23,0.0,3813.66,16479.0,Check Deposit,T0190
LEG9106498,00002231,20230918,0.0,24221.99,94825.22,Wire Transfer,T0215
LEG9833833,ACC 00005325,21-10-2023,9569.53,0.0,89049.41,Monthly Fee,T0112
LEG9509334,ACC00002012,20240324,4190.83,0.0,53748.72,ATM Withdrawal,T0216
