payment_ref,account_no,payment_datetime,payment_amount,currency,merchant_code,auth_code,settlement_date
PGS776295547713,ACC00001560,03/31/2024 07:21 AM,2108.08,EUR,MER01880,AUTH3903,04/01/2024 07:21 AM
PGS681350527878,ACC00010370,2024-01-20 05:48:01,4351.37,GBP,MER01759,AUTH2870,2024-01-21 05:48:01
PGS686091366877,ACC00003657,2024-05-18 09:44:58,4582.08,EUR,MER01531,AUTH7288,2024-05-20 09:44:58
PGS603134400301,ACC00010424,08-Feb-2024 03:29,3205.04,CAD,MER01035,AUTH2901,09-Feb-2024 03:29
PGS294152690003,ACC00003651,21-May-2024 10:35,8840.8,EUR,MER01611,AUTH5680,
PGS134170893664,ACC00003345,2024-02-18 23:52:50,4934.1,EUR,MER01163,,2024-02-19 23:52:50
PGS634133448353,ACC00004334,2024-04-22 09:48:09,11304.31,AUD,MER01770,AUTH2514,2024-04-24 09:48:09
PGS304699655072,ACC00008266,16/01/2024 10:22:21,8708.69,USD,MER01938,AUTH7105,17/01/2024 10:22:21
PGS294200772162,ACC00010087,2024-01-09 19:31:07,4981.42,EUR,MER01637,,2024-01-10 19:31:07
PGS964311937777,ACC00010254,03/15/2024 09:19 PM,2447.79,USD,MER01276,AUTH9041,
PGS791019209538,ACC00005458,04/23/2024 09:45 AM,6851.11,AUD,MER01847,AUTH6115,04/24/2024 09:45 AM
PGS331055440465,ACC00002726,2024-04-08 09:24:57,1465.9,GBP,MER01399,,2024-04-11 09:24:57
PGS046526122719,ACC00001627,18/01/2024 14:10:38,2400.12,CAD,MER01971,AUTH4633,20/01/2024 14:10:38
PGS323181800655,ACC00005667,20240222190532,6372.62,EUR,MER01167,AUTH1952,20240224190532
PGS715247190632,ACC00002142,2024-04-16 13:41:12,1130.88,EUR,MER01821,AUTH3112,2024-04-18 13:41:12
PGS269555077456,ACC00005966,30/01/2024 12:59:18,2982.16,USD,MER01708,AUTH6977,01/02/2024 12:59:18
PGS585332932394,ACC00006279,02/02/2024 02:17:43,1244.06,USD,MER01032,,05/02/2024 02:17:43
PGS595800645235,ACC00005822,2024-04-21 15:25:38,6039.3,USD,MER01877,AUTH0018,2024-04-22 15:25:38
PGS024164042047,ACC00001557,04/14/2024 10:45 PM,6116.71,AUD,MER01216,AUTH2548,04/17/2024 10:45 PM
PGS045363935676,ACC00007354,18/05/2024 20:39:37,189.01,USD,MER01554,AUTH0467,21/05/2024 20:39:37
PGS732696944215,ACC00001629,20240308012339,3394.76,GBP,MER01578,AUTH7101,20240311012339
PGS146180875163,ACC00005655,2024-01-06 09:48:25,2180.11,AUD,MER01207,AUTH5071,2024-01-07 09:48:25
PGS808798052006,ACC00002004,2024-03-18 18:55:11,10969.87,CAD,MER01919,AUTH6431,2024-03-20 18:55:11
PGS637708220848,ACC00008850,15-May-2024 08:38,9388.46,USD,MER01355,AUTH6530,
PGS850619528001,ACC00001009,09-Jan-2024 04:55,4741.2,CAD,MER01269,AUTH0318,11-Jan-2024 04:55
PGS786747950455,ACC00004716,08/03/2024 15:17:53,5280.8,USD,MER01293,,10/03/2024 15:17:53
PGS525875368054,ACC00004795,13-May-2024 02:28,7469.93,GBP,MER01013,,14-May-2024 02:28
PGS784418258137,ACC00001987,2024-05-10 04:28:24,5944.94,USD,MER01377,,2024-05-13 04:28:24
PGS587043764239,ACC00002613,04/02/2024 12:24 AM,3132.16,GBP,MER01027,AUTH7220,04/04/2024 12:24 AM
PGS166681848176,ACC00009852,04/10/2024 07:53 AM,10536.0,AUD,MER01872,AUTH0631,04/13/2024 07:53 AM
PGS313462461589,ACC00003480,13/01/2024 08:12:40,151.38,USD,MER01351,AUTH5924,
PGS757668116112,ACC00005018,2024-01-21 07:04:04,8763.37,AUD,MER01827,AUTH7035,2024-01-22 07:04:04
PGS398917430948,ACC00008109,01/03/2024 12:18 PM,3348.5,GBP,MER01094,AUTH5400,01/04/2024 12:18 PM
PGS516113494923,ACC00003584,22/01/2024 19:30:54,3938.7,EUR,MER01684,AUTH4060,25/01/2024 19:30:54
PGS277531939818,ACC00007338,01/30/2024 05:02 PM,3037.76,EUR,MER01301,AUTH0933,02/02/2024 05:02 PM
PGS977612385085,ACC00005592,04/03/2024 08:29 AM,3780.22,CAD,MER01263,AUTH2802,04/04/2024 08:29 AM
PGS788518286353,ACC00001503,08/01/2024 04:11:35,6931.03,GBP,MER01210,AUTH1619,
PGS137217036805,ACC00003673,20240113024055,5507.02,EUR,MER01736,,20240115024055
PGS374456441102,ACC00001527,20240120111114,5869.13,USD,MER01453,AUTH5475,20240121111114
PGS547238259311,ACC00007358,2024-04-23 13:58:06,30.26,EUR,MER01242,AUTH6113,2024-04-25 13:58:06
PGS303109121306,ACC00004365,2024-02-19 03:24:22,4858.03,USD,MER01358,,2024-02-20 03:24:22
PGS223087855925,ACC00008897,20240112211728,1865.73,USD,MER01425,AUTH9704,20240113211728
PGS329679371304,ACC00007507,03/05/2024 09:57 AM,2285.49,AUD,MER01182,,03/08/2024 09:57 AM
PGS220840959170,ACC00008327,2024-01-22 11:21:09,9946.33,USD,MER01832,AUTH6074,2024-01-25 11:21:09
PGS346263190659,ACC00001394,14-May-2024 06:59,5371.26,USD,MER01602,AUTH1532,17-May-2024 06:59
PGS066784286457,ACC00005459,20240429121944,6184.54,EUR,MER01163,AUTH1340,20240501121944
PGS291329893469,ACC00003225,20240131095159,4181.65,USD,MER01638,AUTH7073,20240203095159
PGS069046949114,ACC00007374,2024-04-09 17:57:31,4203.21,CAD,MER01404,,2024-04-12 17:57:31
PGS145339623985,ACC00003464,14/03/2024 21:13:08,9686.95,CAD,MER01732,,17/03/2024 21:13:08
PGS452040923384,ACC00002532,20240402105536,8090.0,EUR,MER01965,AUTH1436,20240404105536
PGS344991364323,ACC00008325,2024-05-02 17:57:58,6774.39,EUR,MER01196,AUTH1822,2024-05-03 17:57:58
PGS937204569454,ACC00005798,20240205215107,6516.9,GBP,MER01821,AUTH5985,20240207215107
PGS871559342474,ACC00006991,03/15/2024 10:28 PM,1930.36,GBP,MER01448,AUTH6828,03/17/2024 10:28 PM
PGS677735358941,ACC00010352,12-Apr-2024 18:53,7303.7,EUR,MER01800,,14-Apr-2024 18:53
PGS749695650595,ACC00004003,12/05/2024 16:44:13,2562.05,EUR,MER01942,AUTH4021,15/05/2024 16:44:13
PGS410995055725,ACC00004135,14-Feb-2024 10:23,5612.55,USD,MER01476,AUTH8456,16-Feb-2024 10:23
PGS994583867150,ACC00005082,25-Apr-2024 05:06,6596.85,GBP,MER01976,AUTH6837,27-Apr-2024 05:06
PGS770909804655,ACC00009340,20240503100144,1334.12,CAD,MER01321,AUTH1412,20240506100144
PGS702030226157,ACC00003965,2024-04-03 15:57:15,9101.69,AUD,MER01862,AUTH1253,2024-04-04 15:57:15
PGS098104233216,ACC00006373,05/25/2024 08:00 AM,1575.81,EUR,MER01975,,05/27/2024 08:00 AM
PGS184198149197,ACC00008608,20240312092634,949.22,CAD,MER01196,AUTH3313,20240315092634
PGS428059746402,ACC00007162,2024-02-29 21:35:59,3511.92,EUR,MER01541,,2024-03-02 21:35:59
PGS695434775518,ACC00002263,2024-04-27 13:36:16,5206.03,USD,MER01474,AUTH0456,2024-04-29 13:36:16
PGS802779351164,ACC00005629,17-Jan-2024 05:49,4108.35,USD,MER01560,AUTH6476,20-Jan-2024 05:49
PGS541046992708,ACC00003999,08/04/2024 05:26:51,3166.83,GBP,MER01470,AUTH6781,11/04/2024 05:26:51
PGS758013915404,ACC00010809,19/01/2024 04:20:42,9958.95,CAD,MER01619,AUTH8150,22/01/2024 04:20:42
PGS533038977595,ACC00007516,23-May-2024 07:28,6409.21,GBP,MER01547,AUTH2079,25-May-2024 07:28
PGS010432708870,ACC00003979,07/02/2024 15:28:24,5757.63,EUR,MER01634,,09/02/2024 15:28:24
PGS793160086125,ACC00007405,18/05/2024 21:24:56,655.4,CAD,MER01667,AUTH8055,19/05/2024 21:24:56
PGS013795383045,ACC00007268,27-Feb-2024 02:18,1879.89,GBP,MER01385,AUTH0857,29-Feb-2024 02:18
PGS299664081690,ACC00003367,14/01/2024 00:26:36,5534.92,USD,MER01606,AUTH1111,16/01/2024 00:26:36
PGS335651058596,ACC00001222,02/05/2024 06:07 PM,1280.88,USD,MER01888,,02/07/2024 06:07 PM
PGS341708736043,ACC00003074,19-May-2024 13:22,1753.78,CAD,MER01401,AUTH6849,20-May-2024 13:22
PGS792083963273,ACC00001923,2024-01-17 16:59:43,537.87,CAD,MER01262,AUTH4909,2024-01-20 16:59:43
PGS259313493987,ACC00010456,05/16/2024 12:25 PM,7385.52,GBP,MER01639,AUTH4904,05/17/2024 12:25 PM
PGS804841964652,ACC00008919,16-Mar-2024 05:58,3388.31,USD,MER01720,AUTH1478,17-Mar-2024 05:58
PGS837594287666,ACC00006039,18-Mar-2024 21:31,3952.18,GBP,MER01731,AUTH7985,20-Mar-2024 21:31
PGS180415194485,ACC00010998,2024-05-25 19:28:50,6075.34,USD,MER01441,AUTH3950,2024-05-28 19:28:50
PGS245568264037,ACC00009537,03/05/2024 22:09:47,8916.32,AUD,MER01276,AUTH7491,06/05/2024 22:09:47
PGS258128270541,ACC00007460,20/02/2024 19:22:30,1620.02,AUD,MER01667,,23/02/2024 19:22:30
PGS832081344771,ACC00009237,2024-03-28 05:14:33,5835.62,GBP,MER01034,,2024-03-31 05:14:33
PGS675741850090,ACC00003408,2024-04-08 09:48:22,9530.58,USD,MER01214,AUTH1213,2024-04-11 09:48:22
PGS536435155296,ACC00007647,17/01/2024 21:15:52,5132.18,AUD,MER01307,,19/01/2024 21:15:52
PGS458449746033,ACC00001208,20/05/2024 12:43:19,4676.11,EUR,MER01668,AUTH0450,23/05/2024 12:43:19
PGS622255873274,ACC00008671,20240116185319,2336.91,CAD,MER01822,,20240118185319
PGS654877322748,ACC00002770,16-May-2024 23:52,3869.63,CAD,MER01587,AUTH2091,18-May-2024 23:52
PGS592985536913,ACC00008872,08-Apr-2024 02:04,5417.11,CAD,MER01913,AUTH7682,10-Apr-2024 02:04
PGS346699052348,ACC00008351,08/03/2024 19:58:16,959.77,GBP,MER01623,AUTH0809,10/03/2024 19:58:16
PGS012163115189,ACC00005175,2024-05-20 16:39:53,7889.9,GBP,MER01912,AUTH6263,2024-05-23 16:39:53
PGS893969031023,ACC00001745,2024-04-29 18:24:32,8422.87,USD,MER01016,AUTH5398,2024-05-02 18:24:32
PGS763630259259,ACC00007502,12-Feb-2024 09:13,6463.13,AUD,MER01028,,13-Feb-2024 09:13
PGS764744971027,ACC00009357,10-Mar-2024 22:52,2512.38,USD,MER01365,AUTH1710,12-Mar-2024 22:52
PGS575782456037,ACC00008623,14-Jan-2024 14:55,5882.65,USD,MER01117,,17-Jan-2024 14:55
PGS599705533767,ACC00004061,21/05/2024 08:53:55,296.64,CAD,MER01137,,24/05/2024 08:53:55
PGS573025051846,ACC00005830,2023-12-29 02:57:41,1694.66,GBP,MER01303,AUTH5085,2023-12-31 02:57:41
PGS103270492226,ACC00006764,20240413045851,8167.31,EUR,MER01522,AUTH8278,20240416045851
PGS392855602163,ACC00009719,05/16/2024 12:39 AM,1313.94,EUR,MER01448,AUTH7438,05/19/2024 12:39 AM
PGS139571233229,ACC00010276,17/02/2024 21:56:05,7800.16,AUD,MER01835,AUTH7750,19/02/2024 21:56:05
PGS917649188617,ACC00007297,2024-02-07 01:33:29,649.16,GBP,MER01356,,2024-02-09 01:33:29
PGS548587380862,ACC00008359,01-Jan-2024 22:45,10115.9,AUD,MER01289,AUTH7337,03-Jan-2024 22:45
PGS547523430716,ACC00002303,2023-12-27 05:51:56,4839.17,USD,MER01728,AUTH9083,2023-12-29 05:51:56
PGS764411859864,ACC00007941,20240205075910,1066.13,USD,MER01473,AUTH5312,20240208075910
PGS418221484672,ACC00007197,20240322031505,7254.48,USD,MER01827,AUTH8547,20240323031505
PGS650759317530,ACC00007018,22/03/2024 10:49:11,10895.84,CAD,MER01651,AUTH8836,23/03/2024 10:49:11
PGS779837150805,ACC00004990,04/13/2024 09:38 PM,3573.12,EUR,MER01302,AUTH1869,04/15/2024 09:38 PM
PGS068661733741,ACC00005856,02/10/2024 09:52 PM,3368.86,GBP,MER01399,AUTH8017,02/11/2024 09:52 PM
PGS555020164002,ACC00008714,20240404184736,165.28,GBP,MER01097,,20240405184736
PGS922924659025,ACC00006568,20240301212851,1600.08,AUD,MER01459,,
PGS493719204431,ACC00009235,27-Mar-2024 10:37,8148.89,USD,MER01174,AUTH7908,30-Mar-2024 10:37
PGS335567636129,ACC00003418,07-Mar-2024 16:52,8623.2,EUR,MER01201,,10-Mar-2024 16:52
PGS564141848949,ACC00010233,20240205233210,4438.47,EUR,MER01279,AUTH4140,20240207233210
PGS616797439866,ACC00001639,03/07/2024 05:44 PM,1800.76,CAD,MER01158,AUTH3574,03/09/2024 05:44 PM
PGS350611182371,ACC00005290,21/02/2024 15:18:11,4810.05,GBP,MER01814,AUTH5314,23/02/2024 15:18:11
PGS968006704755,ACC00004733,12/03/2024 22:14:09,5043.98,CAD,MER01289,AUTH6707,13/03/2024 22:14:09
PGS917989718623,ACC00010378,29/02/2024 03:49:29,5128.21,AUD,MER01348,AUTH3293,03/03/2024 03:49:29
PGS563824534161,ACC00009741,22/04/2024 11:24:23,5079.96,AUD,MER01721,AUTH3654,24/04/2024 11:24:23
PGS086029387330,ACC00003564,20240330025653,1978.4,GBP,MER01176,,20240401025653
PGS264179269889,ACC00008426,2024-03-16 18:36:52,8772.66,USD,MER01278,AUTH2458,2024-03-19 18:36:52
PGS310963395039,ACC00007854,07-Mar-2024 07:48,7106.5,GBP,MER01402,AUTH9502,10-Mar-2024 07:48
PGS535227807819,ACC00010734,2024-02-02 16:30:11,1574.54,USD,MER01481,,2024-02-03 16:30:11
PGS572833009397,ACC00001424,2024-01-31 13:04:03,696.15,USD,MER01513,AUTH7823,2024-02-03 13:04:03
PGS974372677268,ACC00010796,20240214174501,1460.53,USD,MER01363,AUTH6694,20240215174501
PGS846160308229,ACC00006793,02-May-2024 12:33,3770.75,GBP,MER01657,AUTH2355,03-May-2024 12:33
PGS871884068996,ACC00006162,01/10/2024 06:59 PM,4476.04,GBP,MER01831,AUTH6879,
PGS960143823480,ACC00002419,01-Mar-2024 02:34,7667.83,GBP,MER01042,AUTH7054,02-Mar-2024 02:34
PGS162144946029,ACC00006555,2024-01-23 03:08:32,507.76,EUR,MER01870,AUTH5378,2024-01-24 03:08:32
PGS453986933282,ACC00003897,02/01/2024 09:56 PM,6257.29,EUR,MER01844,,02/03/2024 09:56 PM
PGS624664439054,ACC00003803,05/22/2024 08:30 AM,5499.14,GBP,MER01510,,05/23/2024 08:30 AM
PGS077062678207,ACC00010559,04-Jan-2024 00:59,398.73,CAD,MER01109,AUTH6373,05-Jan-2024 00:59
PGS700132792455,ACC00006159,20/01/2024 22:39:00,1257.37,EUR,MER01354,AUTH9916,23/01/2024 22:39:00
PGS189162396230,ACC00009629,26-Apr-2024 15:23,7978.94,CAD,MER01868,AUTH5959,28-Apr-2024 15:23
PGS809077841813,ACC00003246,04/05/2024 03:39 PM,8819.64,CAD,MER01049,AUTH1108,04/07/2024 03:39 PM
PGS686406649610,ACC00002459,01/05/2024 02:28 PM,678.6,GBP,MER01888,AUTH8281,01/08/2024 02:28 PM
PGS946530409695,ACC00007169,18/02/2024 16:53:33,8990.46,CAD,MER01035,,19/02/2024 16:53:33
PGS532213599708,ACC00002441,20240130195710,6520.48,AUD,MER01390,AUTH5339,20240131195710
PGS643610047337,ACC00008276,18-Feb-2024 13:38,8015.09,EUR,MER01884,,21-Feb-2024 13:38
PGS366276528218,ACC00006066,03-Mar-2024 09:21,7623.91,USD,MER01302,AUTH5131,04-Mar-2024 09:21
PGS838060728124,ACC00005558,02/26/2024 04:16 AM,7040.14,CAD,MER01112,,02/29/2024 04:16 AM
PGS355363296936,ACC00008385,01/15/2024 02:19 AM,1995.36,GBP,MER01183,AUTH8324,01/16/2024 02:19 AM
PGS506348069054,ACC00007745,20240311045228,4996.27,EUR,MER01472,AUTH5731,20240313045228
PGS392906544024,ACC00009807,20240105105630,7508.19,CAD,MER01383,AUTH3711,
PGS474554150461,ACC00009987,07-Jan-2024 20:18,226.34,AUD,MER01943,AUTH5367,08-Jan-2024 20:18
PGS022416472225,ACC00009777,02/14/2024 10:31 PM,3390.37,GBP,MER01400,AUTH6470,02/16/2024 10:31 PM
PGS395224971930,ACC00004041,04/03/2024 21:58:55,591.38,GBP,MER01473,AUTH4682,06/03/2024 21:58:55
PGS300994943598,ACC00009219,20240217103112,6294.91,GBP,MER01632,AUTH2822,20240219103112
PGS281711494200,ACC00004133,20240404130250,3526.74,CAD,MER01252,AUTH2517,20240406130250
PGS611007069106,ACC00008288,11/02/2024 19:25:31,7119.99,GBP,MER01133,AUTH9158,13/02/2024 19:25:31
PGS736375461634,ACC00006629,20240224051404,6364.07,AUD,MER01798,AUTH7014,20240227051404
PGS303608213021,ACC00009592,20240127135729,5274.32,CAD,MER01826,AUTH3762,20240129135729
PGS518223675742,ACC00002981,18-Apr-2024 06:42,4640.21,GBP,MER01358,AUTH3560,19-Apr-2024 06:42
PGS057555366614,ACC00006229,17-Jan-2024 21:03,5355.88,AUD,MER01711,AUTH1051,20-Jan-2024 21:03
PGS713199553931,ACC00010988,16/01/2024 00:31:20,2966.42,GBP,MER01307,AUTH2750,19/01/2024 00:31:20
PGS677402972582,ACC00003481,2024-04-29 03:53:29,4466.28,USD,MER01264,AUTH0654,2024-05-01 03:53:29
PGS730978941949,ACC00009076,04/13/2024 02:34 AM,3312.55,GBP,MER01983,AUTH5329,04/16/2024 02:34 AM
PGS692430786315,ACC00006372,2024-01-29 20:47:00,9864.8,CAD,MER01130,AUTH6385,2024-01-30 20:47:00
PGS528634769580,ACC00004195,11-May-2024 23:00,11114.26,AUD,MER01118,AUTH5804,14-May-2024 23:00
PGS430025712471,ACC00009342,20240428041110,4240.26,GBP,MER01545,AUTH0589,20240429041110
PGS090275537580,ACC00010269,20240229043401,5527.21,CAD,MER01542,AUTH8252,20240303043401
PGS808749039583,ACC00010004,2024-01-08 07:42:51,2055.2,USD,MER01443,AUTH7785,2024-01-10 07:42:51
PGS231320239651,ACC00010421,02/09/2024 06:42 AM,7417.33,EUR,MER01534,,02/10/2024 06:42 AM
PGS410242875762,ACC00001637,03/27/2024 12:51 AM,5740.17,GBP,MER01335,AUTH8499,03/30/2024 12:51 AM
PGS314046681965,ACC00001756,20240504003957,8383.97,CAD,MER01035,AUTH8366,20240506003957
PGS511470390866,ACC00002197,2024-01-07 12:32:23,6107.88,GBP,MER01360,AUTH8813,2024-01-09 12:32:23
PGS186265368708,ACC00002607,05/03/2024 17:02:25,5346.44,EUR,MER01138,,06/03/2024 17:02:25
PGS472214376599,ACC00003848,2024-01-19 22:17:40,849.47,EUR,MER01054,AUTH1928,2024-01-20 22:17:40
PGS627499303745,ACC00005652,09-Feb-2024 01:00,5110.23,EUR,MER01312,AUTH1192,10-Feb-2024 01:00
PGS016129215436,ACC00007054,21/03/2024 19:52:08,1730.52,GBP,MER01565,AUTH9816,23/03/2024 19:52:08
PGS356341024357,ACC00003684,01/09/2024 04:01 PM,7138.0,USD,MER01293,AUTH7246,01/12/2024 04:01 PM
PGS444398520166,ACC00003370,02/01/2024 07:39 AM,3538.08,GBP,MER01837,AUTH0059,02/02/2024 07:39 AM
PGS782878552945,ACC00005068,10-Feb-2024 04:41,7597.89,GBP,MER01944,AUTH1748,13-Feb-2024 04:41
PGS238414898103,ACC00006247,01/12/2024 12:41 AM,242.97,USD,MER01324,AUTH9866,01/15/2024 12:41 AM
PGS226878390172,ACC00007372,01/22/2024 10:43 AM,4198.99,CAD,MER01549,AUTH8926,01/24/2024 10:43 AM
PGS941832745567,ACC00003905,2024-05-12 00:47:25,3138.74,GBP,MER01569,AUTH8509,2024-05-13 00:47:25
PGS694111886113,ACC00009158,2024-04-09 05:41:10,7429.6,AUD,MER01208,,2024-04-12 05:41:10
PGS171651912736,ACC00010345,20240419180441,1879.33,AUD,MER01970,AUTH3132,20240421180441
PGS543227427260,ACC00008512,10/05/2024 07:26:37,838.89,USD,MER01103,,12/05/2024 07:26:37
PGS196564160303,ACC00005738,12/05/2024 19:39:39,2456.43,GBP,MER01980,AUTH0172,14/05/2024 19:39:39
PGS044495039074,ACC00003279,10-Jan-2024 12:53,4837.18,GBP,MER01240,,11-Jan-2024 12:53
PGS216456186282,ACC00007520,29/04/2024 17:13:18,590.36,AUD,MER01357,AUTH0514,
PGS267920497405,ACC00010113,07/05/2024 16:58:43,2130.96,CAD,MER01127,,10/05/2024 16:58:43
PGS361252186314,ACC00003026,2024-03-08 09:04:05,7844.09,GBP,MER01338,AUTH1317,2024-03-10 09:04:05
PGS540553262413,ACC00004432,31-Dec-2023 13:43,456.02,USD,MER01074,AUTH8096,01-Jan-2024 13:43
PGS204990090269,ACC00008387,20240322200229,6896.98,EUR,MER01256,AUTH9270,20240323200229
PGS573562079466,ACC00002091,24-Mar-2024 00:20,2162.24,EUR,MER01670,,
PGS037443439285,ACC00002308,20240513151504,3425.65,GBP,MER01601,AUTH6654,20240515151504
PGS213941462796,ACC00009807,19/02/2024 21:33:17,9854.79,CAD,MER01931,AUTH4207,21/02/2024 21:33:17
PGS427237292499,ACC00007981,01/22/2024 03:38 AM,2947.97,CAD,MER01565,AUTH9759,01/25/2024 03:38 AM
PGS798146691680,ACC00005394,04/25/2024 12:50 PM,4479.86,GBP,MER01693,AUTH4467,04/27/2024 12:50 PM
PGS583199933433,ACC00008047,24-Jan-2024 03:31,4538.65,EUR,MER01649,AUTH6898,27-Jan-2024 03:31
PGS976917324865,ACC00005770,20240408134600,7726.94,EUR,MER01938,AUTH0601,20240409134600
PGS820297377952,ACC00003930,19/04/2024 05:14:01,124.96,USD,MER01932,AUTH9131,20/04/2024 05:14:01
PGS780803147773,ACC00006688,03/23/2024 04:08 PM,9039.42,USD,MER01003,AUTH0150,03/26/2024 04:08 PM
PGS147064323123,ACC00001893,2024-01-03 23:47:29,6012.1,AUD,MER01773,AUTH8818,2024-01-06 23:47:29
PGS821741984982,ACC00003337,12/04/2024 09:56:14,5162.03,USD,MER01476,AUTH8819,13/04/2024 09:56:14
PGS505177864498,ACC00009343,2024-03-09 13:38:20,747.32,GBP,MER01588,AUTH7484,2024-03-11 13:38:20
PGS489965125276,ACC00001426,06/02/2024 22:21:39,6427.22,GBP,MER01783,AUTH8682,07/02/2024 22:21:39
PGS106418493330,ACC00007306,28/04/2024 17:30:28,11726.42,CAD,MER01992,,30/04/2024 17:30:28
PGS668903633467,ACC00010321,20/03/2024 17:25:22,6924.36,USD,MER01973,AUTH0480,21/03/2024 17:25:22
PGS368453683338,ACC00005915,28-Dec-2023 11:24,5254.61,AUD,MER01847,AUTH1579,31-Dec-2023 11:24
PGS300911698463,ACC00004033,05/01/2024 01:01 PM,7695.82,AUD,MER01151,AUTH2524,05/02/2024 01:01 PM
PGS249643217828,ACC00008996,13-Feb-2024 00:05,5402.7,USD,MER01933,AUTH6589,16-Feb-2024 00:05
PGS649269392588,ACC00005100,04/11/2024 01:43 PM,2281.86,AUD,MER01244,AUTH7121,04/12/2024 01:43 PM
PGS597074841477,ACC00009561,28-Feb-2024 03:41,9910.21,USD,MER01268,,02-Mar-2024 03:41
PGS515451894888,ACC00010268,20240411132438,2060.38,GBP,MER01113,,20240414132438
PGS417048300033,ACC00009468,20240102070331,2238.06,CAD,MER01360,AUTH4089,20240104070331
PGS757978695763,ACC00004675,22-Feb-2024 00:32,8921.6,CAD,MER01520,AUTH7455,24-Feb-2024 00:32
PGS945346023307,ACC00002918,02/16/2024 01:59 AM,4082.43,GBP,MER01450,AUTH5470,02/17/2024 01:59 AM
PGS170200610757,ACC00009204,17/03/2024 10:17:07,893.99,USD,MER01695,,18/03/2024 10:17:07
PGS052734666260,ACC00006794,2024-02-10 02:39:05,6034.95,CAD,MER01091,,2024-02-12 02:39:05
PGS737709072034,ACC00005154,25/03/2024 12:55:29,1972.12,CAD,MER01120,,27/03/2024 12:55:29
PGS355601259747,ACC00008539,2024-01-30 11:43:59,10712.41,CAD,MER01350,AUTH9554,2024-02-02 11:43:59
PGS683457644104,ACC00004434,02/10/2024 09:00 PM,2587.7,GBP,MER01115,AUTH2746,02/12/2024 09:00 PM
PGS425011659541,ACC00009040,2024-03-02 06:05:14,4830.98,AUD,MER01114,AUTH4619,2024-03-03 06:05:14
PGS348555861599,ACC00006332,05/13/2024 05:27 AM,8742.31,USD,MER01838,AUTH6052,05/15/2024 05:27 AM
PGS547072702311,ACC00007174,2024-03-18 02:39:23,351.33,EUR,MER01825,AUTH4621,2024-03-21 02:39:23
PGS727891227810,ACC00004580,21/01/2024 23:15:39,11152.55,AUD,MER01567,,22/01/2024 23:15:39
PGS982698798558,ACC00009686,20240221034411,5488.28,GBP,MER01637,AUTH0963,20240222034411
PGS562698528474,ACC00001177,20240423145857,7798.3,AUD,MER01687,AUTH8675,20240426145857
PGS006504258856,ACC00008870,05/15/2024 08:27 PM,3686.96,CAD,MER01503,AUTH0345,05/17/2024 08:27 PM
PGS438165721768,ACC00005452,04/04/2024 03:24 PM,6579.59,USD,MER01122,AUTH2168,04/05/2024 03:24 PM
PGS576261596490,ACC00009382,06/02/2024 07:50:17,1356.09,AUD,MER01747,,07/02/2024 07:50:17
PGS759614347672,ACC00009043,20240103181030,6309.98,AUD,MER01755,AUTH7013,20240106181030
PGS080465230509,ACC00003442,04/07/2024 11:29 AM,206.01,EUR,MER01651,AUTH2286,04/08/2024 11:29 AM
PGS758493700746,ACC00002786,22/02/2024 04:18:06,6707.59,AUD,MER01562,AUTH6164,25/02/2024 04:18:06
PGS153304857104,ACC00002452,01-Mar-2024 06:59,2956.82,AUD,MER01572,AUTH3807,03-Mar-2024 06:59
PGS024856592629,ACC00007092,20240130045656,1240.63,USD,MER01383,,20240201045656
PGS076844341578,ACC00003168,20/02/2024 13:51:47,7287.44,USD,MER01577,AUTH9616,22/02/2024 13:51:47
PGS050057026166,ACC00001198,2024-05-12 21:12:38,8414.14,EUR,MER01881,AUTH5502,2024-05-13 21:12:38
PGS915169776438,ACC00007096,18-Feb-2024 04:39,2788.09,EUR,MER01111,AUTH5035,20-Feb-2024 04:39
PGS657085587425,ACC00001827,2024-01-12 01:34:35,6440.72,USD,MER01652,,2024-01-14 01:34:35
PGS527460577944,ACC00002368,20240129051901,5554.54,USD,MER01060,AUTH8821,20240201051901
PGS146451907520,ACC00001236,01/10/2024 09:18 PM,2494.65,CAD,MER01067,AUTH1676,01/12/2024 09:18 PM
PGS817880990082,ACC00007432,04/08/2024 08:21 PM,11676.83,AUD,MER01355,AUTH0985,04/10/2024 08:21 PM
PGS336919952516,ACC00006172,20240512100157,7697.87,USD,MER01767,AUTH6713,20240514100157
PGS726059451187,ACC00009957,2024-01-05 00:38:42,5218.87,USD,MER01384,AUTH1753,2024-01-08 00:38:42
PGS132862964426,ACC00009009,03/05/2024 16:56:44,3751.67,AUD,MER01207,AUTH6355,04/05/2024 16:56:44
PGS658221698794,ACC00008303,2024-03-03 00:59:51,6967.93,GBP,MER01895,,2024-03-06 00:59:51
PGS014832117853,ACC00001789,20240513152914,7479.18,CAD,MER01661,AUTH7544,20240516152914
PGS045637412986,ACC00007082,19-Apr-2024 05:36,4128.47,USD,MER01983,AUTH7044,21-Apr-2024 05:36
PGS864609848002,ACC00004881,29/02/2024 06:17:06,8554.45,USD,MER01496,AUTH7783,01/03/2024 06:17:06
PGS048654677559,ACC00010589,24-Mar-2024 08:49,9861.77,USD,MER01268,AUTH1900,27-Mar-2024 08:49
PGS297323602909,ACC00006964,01/03/2024 09:48 PM,3647.74,AUD,MER01214,,01/04/2024 09:48 PM
